Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000614,Unilever Philippines,NON-FOOD,2816722128,3810207804,53483680,1809161615,8 07 2018,15373197,KAREILA MANAGEMENT CORP. S&R SUCAT,PARANAQUE,67171235,SURF POWDER KALAMANSI 1X7KG,,,50,case,0.77,353.5
,PCC-000614,Unilever Philippines,NON-FOOD,2816722128,3810207804,53483680,1809161615,8 07 2018,15373197,KAREILA MANAGEMENT CORP. S&R SUCAT,PARANAQUE,67171241,SURF POWDER BLOSSOM FRESH 1X7KG,,,35,case,0.539,247.45
,PCC-000614,Unilever Philippines,NON-FOOD,2816717088,3810207822,53483696,1809168401,8 07 2018,50207235,AFPCES PSG,Manila City,67178902,SURF BAR PURPLE BLOOMS 36X380G,,,3,case,0.035,41.865
,PCC-000614,Unilever Philippines,NON-FOOD,2816666683,3810207839,53483712,1809144038,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67178904,SURF BAR PURPLE BLOOMS 96X130G,,,1,case,0.011,12.776
,PCC-000614,Unilever Philippines,NON-FOOD,2816717088,3810207822,53483696,1809168401,8 07 2018,50207235,AFPCES PSG,Manila City,67178904,SURF BAR PURPLE BLOOMS 96X130G,,,3,case,0.034,38.328
,PCC-000614,Unilever Philippines,NON-FOOD,2816722125,3810207802,53483678,1809161588,8 07 2018,15373197,KAREILA MANAGEMENT CORP. S&R SUCAT,PARANAQUE,67180595,DOVE STICK UNSCENTED WOMEN 12X40G,,,1,case,0.003,0.958
,PCC-000614,Unilever Philippines,NON-FOOD,2816717053,3810207812,53483688,1809168387,8 07 2018,50207235,AFPCES PSG,Manila City,67180595,DOVE STICK UNSCENTED WOMEN 12X40G,,,2,case,0.007,1.916
,PCC-000614,Unilever Philippines,NON-FOOD,2816717052,3810207811,53483687,1809168385,8 07 2018,50207235,AFPCES PSG,Manila City,67180596,DOVE STICK UNSCENTED WOMEN 12X20G,,,2,case,0.005,1.154
,PCC-000614,Unilever Philippines,NON-FOOD,2816717056,3810207814,53483690,1809168390,8 07 2018,50207235,AFPCES PSG,Manila City,67220443,DOVE SH INTENSE REPAIR BLUE 36X80ML,,,5,case,0.052,18.795
,PCC-000614,Unilever Philippines,NON-FOOD,2816717056,3810207814,53483690,1809168390,8 07 2018,50207235,AFPCES PSG,Manila City,67220447,DOVE SH STRT&SLKY PC 24X170ML,,,2,case,0.022,10.096
,PCC-000614,Unilever Philippines,NON-FOOD,2816717054,3810207813,53483689,1809168388,8 07 2018,50207235,AFPCES PSG,Manila City,67223598,DOVE HC NOURISHING OIL CARE 288X10ML,,,5,case,0.049,16.735
,PCC-000614,Unilever Philippines,NON-FOOD,2816717054,3810207813,53483689,1809168388,8 07 2018,50207235,AFPCES PSG,Manila City,67223599,DOVE HC INTENSE REPAIR 288X10ML,,,5,case,0.049,16.735
,PCC-000614,Unilever Philippines,NON-FOOD,2816718455,3810207824,53483698,1809165755,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,67223599,DOVE HC INTENSE REPAIR 288X10ML,,,5,case,0.049,16.735
,PCC-000614,Unilever Philippines,NON-FOOD,2816717056,3810207814,53483690,1809168390,8 07 2018,50207235,AFPCES PSG,Manila City,67223601,DOVE SH NOURISHING OIL CARE 288X10ML,,,2,case,0.019,7.272
,PCC-000614,Unilever Philippines,NON-FOOD,2816717054,3810207813,53483689,1809168388,8 07 2018,50207235,AFPCES PSG,Manila City,67223602,DOVE HC STRAIGHT & SILKY 288X10ML,,,10,case,0.099,33.47
,PCC-000614,Unilever Philippines,NON-FOOD,2816717056,3810207814,53483690,1809168390,8 07 2018,50207235,AFPCES PSG,Manila City,67223605,DOVE SH STRAIGHT & SILKY 288X10ML,,,10,case,0.093,36.36
,PCC-000614,Unilever Philippines,NON-FOOD,2816718455,3810207824,53483698,1809165755,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,67223607,DOVE HC HAIR FALL RESCUE+ 288X10ML,,,3,case,0.03,10.041
,PCC-000614,Unilever Philippines,NON-FOOD,2816717054,3810207813,53483689,1809168388,8 07 2018,50207235,AFPCES PSG,Manila City,67223607,DOVE HC HAIR FALL RESCUE+ 288X10ML,,,5,case,0.049,16.735
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67223712,DOVE SH NRSHNG OIL CRE LB MP 48X6X10ML,,,1,case,0.009,3.636
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67223715,DOVE HC NRSHNG OIL CRE GLD MP 48X6X10ML,,,1,case,0.01,3.347
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67236342,SURF HS STD POWDER SUN FRESH 288X61G,,,5,case,0.134,89.495
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67236343,SURF HS STD POWDER KALAMANSI 288X61G,,,5,case,0.118,89.81
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67236345,SURF HS STD POWDER ROSE FRESH 288X61G,,,5,case,0.134,89.495
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67241858,DOVE SH OXYGEN&NOURISHMNT MP 48X6X10ML,,,1,case,0.009,3.636
,PCC-000614,Unilever Philippines,NON-FOOD,2816717056,3810207814,53483690,1809168390,8 07 2018,50207235,AFPCES PSG,Manila City,67246811,DOVE SH NOC GOLD 24X170ML,,,2,case,0.022,10.096
,PCC-000614,Unilever Philippines,NON-FOOD,2816717056,3810207814,53483690,1809168390,8 07 2018,50207235,AFPCES PSG,Manila City,67246983,DOVE SH HAIR FALL RESCUE PLUS 24X170ML,,,2,case,0.022,10.096
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67246984,DOVE SH HAIR FALL RESCUE PLUS 36X80ML,,,1,case,0.01,3.759
,PCC-000614,Unilever Philippines,NON-FOOD,2816665686,3810207801,53483677,1809143651,8 07 2018,15319878,ROBINSONS SMKT - EASY MART MARIPOSA,PASIG,67288446,CREAMSILK RO HFD+SSK SH 12(180ML+90ML),,,2,case,0.033,9.786
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67288446,CREAMSILK RO HFD+SSK SH 12(180ML+90ML),,,2,case,0.033,9.786
,PCC-000614,Unilever Philippines,NON-FOOD,2816717057,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67311414,DOVE BS BAR REGLR FBX 48X135G,,,3,case,0.042,21.6
,PCC-000614,Unilever Philippines,NON-FOOD,2816717057,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67311415,DOVE BS BAR PINK FBX 48X100G,,,3,case,0.032,16.71
,PCC-000614,Unilever Philippines,NON-FOOD,2816717057,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67311419,DOVE BS BAR PINK FBX 48X135G,,,3,case,0.042,21.6
,PCC-000614,Unilever Philippines,NON-FOOD,2816717063,3810207816,53483692,1809168395,8 07 2018,50207235,AFPCES PSG,Manila City,67327210,BREEZE PWDR ROSE GOLD PERFUME 12X1360G,,,2,case,0.083,34.566
,PCC-000614,Unilever Philippines,NON-FOOD,2816665574,3810207835,53483708,1809143338,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67336089,DOVE BODY WASH SENSITIVE STCKR 12X200ML,,,1,case,0.013,6.247
,PCC-000614,Unilever Philippines,NON-FOOD,2816666684,3810207839,53483712,1809144038,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67337961,BREEZE PWD ROSE GOLD PERFUME MP 24X6X66G,,,1,case,0.026,9.92
,PCC-000614,Unilever Philippines,NON-FOOD,2816717052,3810207811,53483687,1809168385,8 07 2018,50207235,AFPCES PSG,Manila City,67350363,BABY DOVE HAIR-TOE SNTVE MSTE ST 6X400ML,,,2,case,0.018,5.6
,PCC-000614,Unilever Philippines,NON-FOOD,2816717052,3810207811,53483687,1809168385,8 07 2018,50207235,AFPCES PSG,Manila City,67350378,BABY DOVE BAR RICH MOISTURE ST 48X75G,,,2,case,0.02,8
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67350399,BABY DOVE SHAMPOO RICH MSTRE ST 6X200ML,,,1,case,0.004,1.5
,PCC-000614,Unilever Philippines,NON-FOOD,2816717052,3810207811,53483687,1809168385,8 07 2018,50207235,AFPCES PSG,Manila City,67351816,BABY DOVE WIPES RICH MSTRE ST 50 PULLS,,,2,case,0.031,5.8
,PCC-000614,Unilever Philippines,NON-FOOD,2816717052,3810207811,53483687,1809168385,8 07 2018,50207235,AFPCES PSG,Manila City,67353979,BABY DOVE BAR SENSITIVE MOIST ST 60X75G,,,2,case,0.025,10
,PCC-000614,Unilever Philippines,NON-FOOD,2816658389,3810207826,53483700,1809108237,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67379984,LADY'S CHOICE SS HAM DOY 12X470ML,,,1,case,0.012,6.07
