Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000616,RFM Corporation,FOOD,131385571,331405851,1001368648,1039243435,8 07 2018,21827,"SUPERVALUE, INC. - NORTH EDSA","EDSA/WEST AVE., QUEZON CITY",JF000889,FFM1LX2sX6 save P15,,,35,CASE,0.56,466.2
,PCC-000616,RFM Corporation,FOOD,131385817,331405805,1001368640,1039192437,8 07 2018,26192,SANFORD MARKETING CORP.-MASAGANA,"Savemore Market G/Flr., Park View P T.M. Kalaw St., Ermita, Manila",WF000378,FIESTA P59 SWEET SPAGHETTIPID,,,7,CASE,0.105,73.5
,PCC-000616,RFM Corporation,FOOD,131385927,331405803,1001368638,1039186413,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",WF000284,FIESTA ELBOW BIG 1KG X12,,,3,CASE,0.099,38.04
,PCC-000616,RFM Corporation,FOOD,131385927,331405803,1001368638,1039186413,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",WF000379,FIESTA 119 SWEET SPAGTIPID 1.8KG X 10,,,4,CASE,0.104,73.6
,PCC-000616,RFM Corporation,FOOD,131385926,331405802,1001368636,1039178683,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",JF000944,SEL FORT LOWFAT 1L X 12,,,7,CASE,0.112,92.4
,PCC-000616,RFM Corporation,FOOD,131385930,331405801,1001368637,1039254234,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",WF000379,FIESTA 119 SWEET SPAGTIPID 1.8KG X 10,,,5,CASE,0.13,92
,PCC-000616,RFM Corporation,FOOD,131385928,331405800,1001368635,1039192404,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",WF000378,FIESTA P59 SWEET SPAGHETTIPID,,,8,CASE,0.12,84
,PCC-000616,RFM Corporation,FOOD,131385925,331405804,1001368639,1039173236,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",JF000894,SELECTA MOO CHOCO 245MLX24,,,5,CASE,0.05,34.1
,PCC-000616,RFM Corporation,FOOD,131385925,331405804,1001368639,1039173236,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",JF000942,SEL FILLED MILK 1 LITERX 12,,,8,CASE,0.128,105.52
,PCC-000616,RFM Corporation,FOOD,131385925,331405804,1001368639,1039173236,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",JF000945,SEL FULLCREAM MILK 1L X12,,,3,CASE,0.048,39.96
,PCC-000616,RFM Corporation,FOOD,131385925,331405804,1001368639,1039173236,8 07 2018,27082,SANFORD MARKETING CORP.-BLUMENTRITT,"1360 Blumentritt St., cor. Laong La Quezon City",JF000938,SELECTA MOO CHOCO 100ML4X9,,,3,CASE,0.027,13.98
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000364,SK MANGO DOY 185ML X 10,,,2,CASE,0.01,4.32
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000924,SK ORANGE 100MLx10,,,2,CASE,0.008,2.52
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000925,SK GRAPE 100ML X 10,,,1,CASE,0.004,1.26
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000926, SK APPLE 100ML X 10,,,1,CASE,0.004,1.25
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000949,SK  APPLE DOY 250ML,,,1,CASE,0.006,2.71
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",WF000379,FIESTA 119 SWEET SPAGTIPID 1.8KG X 10,,,3,CASE,0.078,55.2
,PCC-000616,RFM Corporation,FOOD,131387135,331405845,1001368645,1039346346,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000948,SK ORANGE DOY 250ML,,,2,CASE,0.012,5.46
,PCC-000616,RFM Corporation,FOOD,131387058,331405846,1001368646,1039332477,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",WF000380,FIESTA P119 3CHEESE SPAGTIPID 1.8 KGX10,,,11,CASE,0.286,202.4
,PCC-000616,RFM Corporation,FOOD,131387058,331405846,1001368646,1039332477,8 07 2018,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",WF000381,FIESTA 119 FIL SPAGTIPID 1.8 KG X 10,,,8,CASE,0.208,139.2
